"ntree","nleaf","k","kfold","train","train.ave","test","test.ave"
2,2,8,10,1.04857802391052,1.07951986789703,1.07185006141663,1.13923954963684
2,2,9,10,1.06989514827728,1.07845044136047,0.845317959785461,1.10658156871796
2,2,10,10,1.03621184825897,1.07422661781311,1.17632710933685,1.1135561466217
2,3,1,10,1.03857231140137,1.03857231140137,1.01945352554321,1.01945352554321
2,3,2,10,1.04020464420319,1.03938841819763,1.00844979286194,1.01395165920258
2,3,3,10,1.03018522262573,1.03632068634033,1.09457004070282,1.04082441329956
2,3,4,10,1.02665627002716,1.03390455245972,1.12966895103455,1.06303548812866
2,3,5,10,1.02039790153503,1.0312032699585,1.18179106712341,1.08678662776947
2,3,6,10,1.0336434841156,1.03161001205444,1.07026135921478,1.08403241634369
2,3,7,10,1.03063976764679,1.0314713716507,1.10235273838043,1.08664965629578
2,3,8,10,1.03370845317841,1.03175103664398,1.07046270370483,1.08462631702423
2,3,9,10,1.0534086227417,1.03415739536285,0.860889971256256,1.05976676940918
2,3,10,10,1.02362525463104,1.03310418128967,1.15667617321014,1.06945776939392
2,4,1,10,0.995794057846069,0.995794057846069,0.952418565750122,0.952418565750122
2,4,2,10,0.993676960468292,0.994735479354858,0.974083602428436,0.963251113891602
2,4,3,10,0.990112841129303,0.993194580078125,1.00528347492218,0.977261900901794
2,4,4,10,0.987273812294006,0.991714358329773,1.03697681427002,0.992190599441528
2,4,5,10,0.968762099742889,0.987123906612396,1.19115459918976,1.03198337554932
2,4,6,10,0.994802057743073,0.988403618335724,0.964249312877655,1.02069437503815
2,4,7,10,0.986997246742249,0.988202691078186,1.04506421089172,1.02417576313019
2,4,8,10,0.976106762886047,0.986690700054169,1.14646589756012,1.03946208953857
2,4,9,10,0.998629987239838,0.98801726102829,0.933738768100739,1.02771508693695
2,4,10,10,0.988027513027191,0.988018274307251,1.03354287147522,1.02829790115356
2,5,1,10,0.989341557025909,0.989341557025909,0.94871997833252,0.94871997833252
2,5,2,10,0.9859299659729,0.987635731697083,0.983938455581665,0.966329216957092
2,5,3,10,0.983706593513489,0.986326038837433,1.00090682506561,0.977855086326599
2,5,4,10,0.981658041477203,0.985159039497375,1.02514588832855,0.989677786827087
2,5,5,10,0.961636960506439,0.980454623699188,1.192227602005,1.03018772602081
2,5,6,10,0.986084461212158,0.981392920017242,0.981157779693604,1.0220160484314
2,5,7,10,0.980213582515717,0.981224417686462,1.04456329345703,1.02523708343506
2,5,8,10,0.974913895130157,0.980435609817505,1.14771199226379,1.04054641723633
2,5,9,10,0.993984818458557,0.981941103935242,0.907048583030701,1.02571332454681
2,5,10,10,0.981760859489441,0.98192310333252,1.10876131057739,1.03401815891266
2,6,1,10,0.985705852508545,0.985705852508545,0.950587630271912,0.950587630271912
2,6,2,10,0.98162704706192,0.98366641998291,1.01473140716553,0.982659518718719
2,6,3,10,0.980264008045197,0.982532262802124,1.00046110153198,0.988593399524689
2,6,4,10,0.978318929672241,0.981478929519653,1.02349841594696,0.997319638729095
2,6,5,10,0.9561567902565,0.976414501667023,1.2258597612381,1.04302763938904
2,6,6,10,0.984123289585114,0.977699279785156,1.05466902256012,1.04496788978577
2,6,7,10,0.977100551128387,0.977613747119904,1.04069137573242,1.04435694217682
2,6,8,10,0.968087792396545,0.976423025131226,1.16181647777557,1.05903935432434
2,6,9,10,0.991028487682343,0.978045880794525,0.90351927280426,1.04175937175751
2,6,10,10,0.978203594684601,0.978061676025391,1.08248317241669,1.04583179950714
2,7,1,10,0.984958350658417,0.984958350658417,0.947774767875671,0.947774767875671
2,7,2,10,0.978083968162537,0.981521129608154,1.01602101325989,0.98189789056778
2,7,3,10,0.982333540916443,0.981791913509369,1.00356352329254,0.9891197681427
2,7,4,10,0.975214004516602,0.980147421360016,1.02468371391296,0.998010754585266
2,7,5,10,0.9561567902565,0.975349307060242,1.2258597612381,1.04358053207397
2,7,6,10,0.974623680114746,0.975228369235992,1.04577100276947,1.04394555091858
2,7,7,10,0.973840951919556,0.975030183792114,1.04328346252441,1.04385101795197
2,7,8,10,0.965119600296021,0.973791360855103,1.1769437789917,1.06048762798309
2,7,9,10,0.985083997249603,0.975046098232269,0.923828065395355,1.04530322551727
2,7,10,10,0.977228939533234,0.975264370441437,1.18512678146362,1.05928564071655
